index,Changed_article,Changed_json,Original_article,Original_json,topics_changed,topics
0,"""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… Next Week's Holidays: No vaccination sites operational. Weekend Getaways: Some vaccination sites operational. No specific time mentioned for either day. https://t.co/HiUVYJzOBY","{
    ""Number of vaccination sites"": ""145 sites will receive vaccine on Monday.\\n425 sites will receive vaccine on Tuesday."",
    ""Day of activity"": ""Some vaccination sites operational. \\nNo specific time mentioned for either day.""
}","""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… https://t.co/HiUVYJzOBY","{
    ""Number of vaccination sites"": ""145 sites will receive vaccine on Monday.\n425 sites will receive vaccine on Tuesday."",
    ""Day of activity"": ""Monday: 145 sites operational.\nTuesday: 425 sites operational. \nNo specific time mentioned for either day.""
}",['Day of activity'],"[
    {
        ""Name of fact"": ""Number of vaccination sites"",
        ""Description of fact"": ""The number of places where people can receive vaccine."",
        ""Common examples"": ""145, 425""
    },
    {
        ""Name of fact"": ""Day of activity"",
        ""Description of fact"": ""Specific days when the vaccination sites will be operational."",
        ""Common examples"": ""Monday, Tuesday""
    }
]"
0,"The #FDA finally issues #EUA now comes the problem transporting this #FakeVaccineForSale vaccine, needs to be kept at -… https://t.co/NvaGyoo2yD","{
    ""Type of vaccine"": ""#FakeVaccineForSale, a product name of COVID-19 scam"",
    ""Temperature requirement"": ""The #PfizerBioNTech vaccine needs to be kept at -… (temperature level not specified, only a dash is shown)""
}","The #FDA finally issues #EUA now comes the problem transporting this #PfizerBioNTech vaccine, needs to be kept at -… https://t.co/NvaGyoo2yD","{
    ""Type of vaccine"": ""The vaccine being discussed is #PfizerBioNTech, a brand name of COVID-19 vaccine."",
    ""Temperature requirement"": ""The PfizerBioNTech vaccine needs to be kept at -… (temperature level not specified, only a dash is shown)""
}",['Type of vaccine'],"[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type or brand name of the vaccine being discussed."",
        ""Common examples"": ""#PfizerBioNTech""
    },
    {
        ""Name of fact"": ""Temperature requirement"",
        ""Description of fact"": ""The specific temperature at which a certain substance, in this case, the #PfizerBioNTech vaccine, needs to be kept."",
        ""Common examples"": ""-\u2026 (temperature)""
    }
]"
0,@sbnumb3 @nytimes Please don’t spread fake news! There is evidence that these cases are linked to the… https://t.co/bMcAhIPR5g,"{
    ""Type"": ""There is evidence that these cases are linked to a specific event or entity.\\nCases may be related to military personnel or civilians.\\nInformation on type classification of casualties indicates a potential connection.""
}",@sbnumb3 @nytimes Please don’t spread fake news! There is no evidence that these cases are linked to the… https://t.co/bMcAhIPR5g,"{
    ""Type"": ""There is no evidence that cases are linked to a specific event or entity.\nCases may not be related to military personnel or civilians.\nNo information on type classification of casualties.""
}",['Type'],"[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""of casualty classifies the casualties as a civilian or non-civilian (e.g., military personnel are non-civilians)."",
        ""Common examples"": ""Civilian, Non-civilian""
    }
]"
0,Anyone wondering why day after #PfizerBioNTech approval in the UK people were getting intentionally exposed to the vaccine but all we are told… https://t.co/tPSyL9CUYE,"{
    ""Approval"": ""The PfizerBioNTech vaccine was approved in the UK. \\nNo information on date of approval."",
    ""Vaccination"": ""* PfizerBioNTech vaccine was approved in the UK.\\n* People were being intentionally exposed to the vaccine after approval.""
}",Anyone wondering why day after #PfizerBioNTech approval in the UK people were getting vaccinated but all we are tol… https://t.co/tPSyL9CUYE,"{
    ""Approval"": ""The PfizerBioNTech vaccine was approved in the UK. \nNo information on date of approval."",
    ""Vaccination"": ""* PfizerBioNTech vaccine was approved in the UK.\n* People were getting vaccinated after approval.""
}",['Vaccination'],"[
    {
        ""Name of fact"": ""Approval"",
        ""Description of fact"": ""The process of officially allowing or permitting something."",
        ""Common examples"": ""PfizerBioNTech approval, Government approval""
    },
    {
        ""Name of fact"": ""Vaccination"",
        ""Description of fact"": ""The act of administering a vaccine to someone to protect them from an infectious disease."",
        ""Common examples"": ""Getting vaccinated, Receiving a COVID-19 vaccine""
    }
]"
0,"COVID-19: News and updates
The public was convinced that the person had indeed received the COVID-19 shot, after seeing video footage appeared to show… https://t.co/lBc2PJ2b9l","{
    ""Public Reaction"": ""The public was convinced that the person had indeed received the COVID-19 shot, after seeing video footage."",
    ""Visual Evidence"": ""Unknown (not mentioned in the article)""
}","COVID-19: News and updates
public questioned whether he actually received the shot.
Video footage appeared to show… https://t.co/lBc2PJ2b9l","{
    ""Public Reaction"": ""The public questioned whether a person actually received the COVID-19 shot after seeing video footage."",
    ""Visual Evidence"": ""* Type of footage: Video\n* Content: Appeared to show (something)\n* Source: Unknown (not mentioned in the article)""
}",['Public Reaction'],"[
    {
        ""Name of fact"": ""Public Reaction"",
        ""Description of fact"": ""The way people responded to a news event."",
        ""Common examples"": ""Questioned whether he actually received the shot""
    },
    {
        ""Name of fact"": ""Visual Evidence"",
        ""Description of fact"": ""Types of footage or images that are used as proof of an incident."",
        ""Common examples"": ""Video footage appeared to show""
    }
]"
0,"⁦@AvgerinosMoscow⁩ #PfizerBioNTech #FDA approval Apprentice Style!
⁦@realDonaldTrump⁩: “Approve the #vaccine or you… https://t.co/f64cOP5DV6
The FDA has withheld the Pfizer-BioNTech vaccine. No further details available.","{
    ""Social Media Post"": ""#vaccine, #PfizerBioNTech"",
    ""Vaccine Approval Status"": ""The FDA has withheld the Pfizer-BioNTech vaccine. No further details available.""
}","⁦@AvgerinosMoscow⁩ #PfizerBioNTech #FDA approval Apprentice Style!
⁦@realDonaldTrump⁩: “Approve the #vaccine or you… https://t.co/f64cOP5DV6","{
    ""Social Media Post"": ""* Social Media Handle: @AvgerinosMoscow, @realDonaldTrump\n* Tweet Context: #PfizerBioNTech, FDA approval, Apprentice Style!\n* Quote from User: @realDonaldTrump - \""Approve the vaccine or you...\""\n* URL: https://t.co/f64cOP5DV6 (No information)\n* Hashtags: #vaccine, #PfizerBioNTech"",
    ""Vaccine Approval Status"": ""The FDA has approved the Pfizer-BioNTech vaccine. No further details available.""
}",['Vaccine Approval Status'],"[
    {
        ""Name of fact"": ""Social Media Post"",
        ""Description of fact"": ""A post made on social media, which can contain various types of information."",
        ""Common examples"": ""Tweet by @realDonaldTrump""
    },
    {
        ""Name of fact"": ""Vaccine Approval Status"",
        ""Description of fact"": ""The status of approval for a vaccine from a regulatory body such as the FDA."",
        ""Common examples"": ""Approved, Not approved""
    }
]"
0,"@ZubyMusic 6 deaths so far. 
It's only death, nothing to worry about then 🤔
#CovidVaccines
#Pfizervaccine… https://t.co/HkGTDM5J3f
@ZubyMusic is a Twitter bot that shares updates, not a human user.","{
    ""Number of deaths"": ""6 deaths reported so far."",
    ""Actor"": ""The actor responsible for sharing the information is @ZubyMusic, a Twitter bot.""
}","@ZubyMusic 6 deaths so far. 
It's only death, nothing to worry about then 🤔
#CovidVaccines
#Pfizervaccine… https://t.co/HkGTDM5J3f","{
    ""Number of deaths"": ""6 deaths reported so far."",
    ""Actor"": ""The actor responsible for sharing the information is @ZubyMusic, a Twitter user.""
}",['Actor'],"[
    {
        ""Name of fact"": ""Number of deaths"",
        ""Description of fact"": ""The number of fatalities reported."",
        ""Common examples"": ""6""
    },
    {
        ""Name of fact"": ""Actor"",
        ""Description of fact"": "" identifies the actor responsible for sharing the information, such as a Twitter user."",
        ""Common examples"": ""@ZubyMusic""
    }
]"
0,"@cnnbrk #COVID19 #CovidVaccine #vaccine #Corona   #PfizerBioNTech #bbcnews #NYTimes #BBCNews Best wishes to the US... https://t.co/9xWmfU3LZj 
The article is discussing an Inactivated virus vaccine. ...","{
    ""Vaccine type"": ""Inactivated virus vaccine\\n* No specific type of vaccine (e.g. mRNA, viral vector) mentioned"",
    ""Source of information"": ""CNN, BBC News, NYTimes, BBCNews (no specific webpage or date).\\nNo other sources mentioned.""
}",@cnnbrk #COVID19 #CovidVaccine #vaccine #Corona   #PfizerBioNTech #bbcnews #NYTimes #BBCNews Best wishes to the US… https://t.co/9xWmfU3LZj,"{
    ""Vaccine type"": ""* Type of vaccine: PfizerBioNTech\n* No specific type of vaccine (e.g. mRNA, viral vector) mentioned"",
    ""Source of information"": ""The article does not provide any direct source information.\n Sources mentioned: CNN, BBC News, NYTimes, BBCNews (no specific webpage or date).\nNo other sources mentioned.""
}",['Vaccine type'],"[
    {
        ""Name of fact"": ""Vaccine type"",
        ""Description of fact"": ""Type of vaccine being discussed or mentioned."",
        ""Common examples"": ""Pfizer BioNTech""
    },
    {
        ""Name of fact"": ""Source of information"",
        ""Description of fact"": ""Sources providing updates on COVID-19 and related news."",
        ""Common examples"": ""CNN, BBC News, NY Times""
    }
]"
0,"Interesting and very detailed article showing up how a well tested #sustainabilitycrisis, with #secrethidden will help d… https://t.co/yt3vn67mVg","{
    ""Type"": ""The type of the article is a tweet about an interesting and detailed article on supply chain management.\\nThe subject matter of the article is related to Syrian war (indirectly mentioned in the hashtag).\\nNo specific category or classification of the article is mentioned except for #sustainabilitycrisis, #secrethidden, and #Syrianwar (which are hashtags)."",
    ""Hashtag"": ""* The hashtag #sustainabilitycrisis is mentioned.\\n* The hashtag #secrethidden is also mentioned.""
}","Interesting and very detailed article showing up how a well tested #supplychain, with #sharedvisibility will help d… https://t.co/yt3vn67mVg","{
    ""Type"": ""The type of the article is a tweet about an interesting and detailed article on supply chain management.\nThe subject matter of the article is related to Syrian war (indirectly mentioned in the hashtag).\nNo specific category or classification of the article is mentioned except for #supplychain, #sharedvisibility, and #Syrianwar (which are hashtags)."",
    ""Hashtag"": ""* The hashtag #supplychain is mentioned.\n* The hashtag #sharedvisibility is also mentioned.""
}",['Hashtag'],"[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""The type or category that something belongs to."",
        ""Common examples"": ""Supplychain, Visibility""
    },
    {
        ""Name of fact"": ""Hashtag"",
        ""Description of fact"": ""A word or phrase preceded by the symbol #, used to identify topics and trends on social media."",
        ""Common examples"": ""#supplychain, #sharedvisibility""
    }
]"
0,"@mirekR9 @sputnikvaccine Vaccine with zero side effects, no info on PfizerBioNTech a… https://t.co/IWELAATAmd","{
    ""Type of vaccine"": ""Vaccine with zero side effects, no info on PfizerBioNTech.""
}","@mirekR9 @sputnikvaccine @AstraZeneca it's the only one which doesn't have any side effects 

the #PfizerBioNTech a… https://t.co/IWELAATAmd","{
    ""Type of vaccine"": ""Type of vaccine: AstraZeneca, Pfizer-BioNTech has side effects, No information on specific type of COVID-19 vaccine being discussed (only reference to vaccine types).""
}",['Type of vaccine'],"[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type of COVID-19 vaccine being discussed."",
        ""Common examples"": ""PfizerBioNTech, AstraZeneca""
    }
]"
0,"For all the women and healthcare providers who have been asking about the safety of the #PfizerBioNTech, which implies a live attenuated virus-based vaccine. https://t.co/ow0Pglkwte","{
    ""Type of vaccine"": ""#PfizerBioNTech, which implies a live attenuated virus-based vaccine.""
}",For all the women and healthcare providers who have been asking about the safety of the #PfizerBioNTech… https://t.co/ow0Pglkwte,"{
    ""Type of vaccine"": ""The specific type of vaccine being referred to is #PfizerBioNTech, which implies a mRNA-based vaccine.""
}",['Type of vaccine'],"[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The specific type of vaccine being referred to."",
        ""Common examples"": ""#PfizerBioNTech""
    }
]"
